Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20071031,14532.04158,1196.9984,25030.032,1385.234,21743.999,31096.576,61572.9681,4649.955019,8623.359023,9004.009854
20071130,14532.04158,1196.9984,25030.032,1385.234,21743.999,31096.576,61572.9681,4649.955019,8623.359023,9004.009854
20071231,14532.04158,1196.9984,25030.032,1385.234,21743.999,31096.576,61572.9681,4649.955019,8623.359023,9004.009854
20080131,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080229,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080331,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080430,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080530,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080630,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080731,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080829,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20080930,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20081031,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20081128,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20081231,21029.96323,2672.004,17714.073,1339.096,20472.0664,36285.5452,64608.1314,4410.335902,9192.069035,0.00001
20090130,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090227,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090331,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090430,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090529,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090630,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
